Final pids: 1357
epoll_ctl(5, EPOLL_CTL_ADD, 24, { events={ EPOLLIN | EPOLLOUT | EPOLLRDHUP | EPOLLET }, data={ u32: 3789416192, u64: 106171086006016 } }) = 0
epoll_ctl(5, EPOLL_CTL_ADD, 25, { events={ EPOLLIN | EPOLLOUT | EPOLLRDHUP | EPOLLET }, data={ u32: 3789432320, u64: 106171086022144 } }) = 0
epoll_ctl(5, EPOLL_CTL_ADD, 26, { events={ EPOLLIN | EPOLLOUT | EPOLLRDHUP | EPOLLET }, data={ u32: 3789451264, u64: 106171086041088 } }) = 0
epoll_ctl(323, EPOLL_CTL_MOD, 326, { events={ EPOLLIN | EPOLLPRI | EPOLLERR | EPOLLHUP | EPOLLONESHOT }, data={ u32: 4294967295, u64: 18446744073709551615 } }) = 0
epoll_ctl(323, EPOLL_CTL_MOD, 327, { events={ EPOLLIN | EPOLLPRI | EPOLLERR | EPOLLHUP | EPOLLONESHOT }, data={ u32: 4294967295, u64: 18446744073709551615 } }) = 0
epoll_ctl(4, EPOLL_CTL_MOD, 5, { events={ EPOLLIN | EPOLLPRI | EPOLLERR | EPOLLHUP | EPOLLONESHOT }, data={ u32: 4294967295, u64: 18446744073709551615 } }) = 0
epoll_ctl(4, EPOLL_CTL_MOD, 6, { events={ EPOLLIN | EPOLLPRI | EPOLLERR | EPOLLHUP | EPOLLONESHOT }, data={ u32: 4294967295, u64: 18446744073709551615 } }) = 0
epoll_ctl(4, EPOLL_CTL_MOD, 5, { events={ EPOLLIN | EPOLLPRI | EPOLLERR | EPOLLHUP | EPOLLONESHOT }, data={ u32: 4294967295, u64: 18446744073709551615 } }) = 0
epoll_ctl(4, EPOLL_CTL_MOD, 6, { events={ EPOLLIN | EPOLLPRI | EPOLLERR | EPOLLHUP | EPOLLONESHOT }, data={ u32: 4294967295, u64: 18446744073709551615 } }) = 0
epoll_ctl(4, EPOLL_CTL_MOD, 5, { events={ EPOLLIN | EPOLLPRI | EPOLLERR | EPOLLHUP | EPOLLONESHOT }, data={ u32: 4294967295, u64: 18446744073709551615 } }) = 0
epoll_ctl(15, EPOLL_CTL_MOD, 16, { events={ EPOLLIN | EPOLLPRI | EPOLLERR | EPOLLHUP | EPOLLONESHOT }, data={ u32: 4294967295, u64: 18446744073709551615 } }) = 0
